CATEGORY,JAPANESE,KANJI,ENGLISH,ROMAJI
People,にんげん,人間,human,ningen
People,じんるい,人類,humanity,jinrui
People,ひと,人,person,hito
People,おとこ,男,male,otoko
People,おとこのひと,男の人,man,otokonohito
People,おとこのこ,男の子,boy,otokonoko
People,おんな,女,female,onna
People,おんなのひと,女の人,woman,onnanohito
People,おんなのこ,女の子,girl,onnanoko
People,あかちゃん,赤ちゃん,baby,akachan
People,わかもの,若者,"youth, young person",wakamono
People,わたし,私,"I, myself",watashi
People,わたくし,私,"I, myself [most formal]",watakushi
People,ぼく,僕,"I, myself , mainly used by males",boku
People,おれ,俺,"I, myself , mainly used by males [informal]",ore
People,あたし,私,"I, myself , mainly used by females [softer sounding]",atashi
People,しょうじょ,少女,girl,shoujo
People,しょうねん,少年,boy,shounen
Occupations,いしゃ,医者,doctor,isha
Occupations,かんごし,看護師,nurse,kangoshi
Occupations,かんごふ,看護婦,female nurse,kangofu
Occupations,しかい,歯科医 / 歯医者,dentist,"shikai, ha-isha"
Occupations,せいじか,政治家,politician,seijika
Occupations,べんごし,弁護士,lawyer,bengoshi
Occupations,しょうぼうし,消防士,firefighter,shouboushi
Occupations,けいさつかん,警察官,police officer,keisatsukan
Occupations,へいし,兵士,soldier,heishi
Occupations,けんちくか,建築家,architect,kenchikuka
Occupations,せんせい,先生,teacher,sensei
Occupations,きょうし,教師,(academic) teacher,kyoushi
Occupations,かしゅ,歌手,singer,kashu
Occupations,エンジニア,,engineer,enjinia
Body,あし,足 / 脚,"foot, leg",ashi
Body,かかと,踵,heel,kakato
Body,すね,脛,shin,sune
Body,ひざ,膝,knee,hiza
Body,もも,腿,thigh,momo
Body,あたま,頭,head,atama
Body,かお,顔,face,kao
Body,くち,口,mouth,kuchi
Body,くちびる,唇,lips,kuchibiru
Body,は,歯,tooth,ha
Body,はな,鼻,nose,hana
Body,め,目,eye,me
Body,ひげ,髭 / 鬚 / 髯,"moustache, beard",hige
Body,かみ,髪,hair,kami
Body,みみ,耳,ear,mimi
Body,おなか,御腹,stomach,onaka
Body,うで,腕,arm,ude
Body,ひじ,肘,elbow,hiji
Body,かた,肩,shoulder,kata
Body,つめ,爪,nail,tsume
Body,て,手,hand,te
Body,てくび,手首,wrist,tekubi
Body,てのひら,掌 / 手の平,palm of hand,te-no-hira
Body,ゆび,指,"finger, toe",yubi
Body,しり,尻,buttocks,shiri
Body,おなか,お腹 / 腹,abdomen,o-naka
Body,かんぞう,肝臓,liver,kanzō
Body,きも,肝,liver,kimo
Body,きんにく,筋肉,muscle,kin'niku
Body,くび,首,neck,kubi
Body,こころ,心,heart [as in feelings],kokoro
Body,こし,腰,"waist, hip",koshi
Body,しんぞう,心臓,heart,shinzō
Body,せなか,背中,back,senaka
Body,ち,血,blood,chi
Body,にく,肉,meat,niku
Body,はだ,肌 / 膚,skin,hada
Body,ひふ,皮膚,skin,hifu
Body,ほね,骨,bone,hone
Body,むね,胸,chest,mune
Body,かぜ,風邪,cold [illness],kaze
Body,げり,下痢,diarrhea,geri
Body,びょうき,病気,illness,byōki
Family,かぞく,家族,family,kazoku
Family,りょうしん,両親,parents,ryoushin
Family,こども,子供,"children, child",kodomo
Family,ちち,父,"father )(""otou-san""",chichi
Family,はは,母,"mother )(""okaa-san""",haha
Family,つま,妻,wife,tsuma
Family,おっと,夫,husband,otto
Family,あに,兄,older brother ( ani ),onī-san
Family,あね,姉,older sister ( ane ),onē-san
Family,おとうと,弟,younger brother,otōto
Family,いもうと,妹,younger sister,imōto
Family,きょうだい,兄弟,"brothers, siblings",kyōdai
Family,しまい,姉妹,sisters,shimai
